"table_schema","table_name","column_name","ordinal_position","data_type","is_nullable","column_default"
"public","advertising_connections","connection_id","1","integer","NO","nextval('advertising_connections_connection_id_seq'::regclass)"
"public","advertising_connections","client_id","2","character varying","NO",""
"public","advertising_connections","platform_type","3","character varying","NO",""
"public","advertising_connections","account_id","4","character varying","NO",""
"public","advertising_connections","account_name","5","character varying","YES",""
"public","advertising_connections","currency","6","character varying","YES",""
"public","advertising_connections","timezone","7","character varying","YES",""
"public","advertising_connections","manager_id","8","character varying","YES",""
"public","advertising_connections","business_id","9","character varying","YES",""
"public","advertising_connections","is_active","10","boolean","YES","true"
"public","advertising_connections","created_at","11","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","advertising_connections","updated_at","12","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","clients","client_id","1","character varying","NO",""
"public","clients","company_name","2","character varying","YES",""
"public","clients","created_at","3","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","clients","created_by_user_id","4","character varying","YES",""
"public","crm_connections","connection_id","1","integer","NO","nextval('crm_connections_connection_id_seq'::regclass)"
"public","crm_connections","client_id","2","character varying","NO",""
"public","crm_connections","write_key","3","character varying","NO",""
"public","crm_connections","platform_type","4","character varying","NO",""
"public","crm_connections","store_url","5","character varying","YES",""
"public","crm_connections","store_name","6","character varying","YES",""
"public","crm_connections","currency","7","character varying","YES",""
"public","crm_connections","timezone","8","character varying","YES",""
"public","crm_connections","is_active","9","boolean","YES","true"
"public","crm_connections","created_at","10","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","crm_connections","updated_at","11","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","default_traffic_rules","rule_id","1","integer","NO","nextval('default_traffic_rules_rule_id_seq'::regclass)"
"public","default_traffic_rules","rule_name","2","character varying","NO",""
"public","default_traffic_rules","conditions","3","jsonb","NO",""
"public","default_traffic_rules","action","4","character varying","NO",""
"public","default_traffic_rules","channel","5","character varying","YES",""
"public","default_traffic_rules","enabled","6","boolean","YES","true"
"public","default_traffic_rules","created_at","7","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","default_traffic_rules","updated_at","8","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","event_properties","event_property_id","1","integer","NO","nextval('event_properties_event_property_id_seq'::regclass)"
"public","event_properties","event_id","2","integer","NO",""
"public","event_properties","property_id","3","integer","NO",""
"public","events","event_id","1","integer","NO","nextval('events_event_id_seq'::regclass)"
"public","events","name","2","character varying","NO",""
"public","events","description","3","character varying","NO",""
"public","events","category","5","character varying","YES",""
"public","events","platform","6","character varying","NO",""
"public","events","is_active","8","boolean","YES","true"
"public","events","is_custom","12","boolean","YES","false"
"public","events","created_at","13","timestamp without time zone","YES",""
"public","expense_categories","category_id","1","integer","NO","nextval('expense_categories_category_id_seq'::regclass)"
"public","expense_categories","client_id","2","character varying","NO",""
"public","expense_categories","category_name","3","character varying","NO",""
"public","expense_categories","created_by_user_id","4","character varying","NO",""
"public","expense_categories","created_at","5","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","fixed_expenses","expense_id","1","integer","NO","nextval('fixed_expenses_expense_id_seq'::regclass)"
"public","fixed_expenses","client_id","2","character varying","NO",""
"public","fixed_expenses","write_key","3","character varying","NO",""
"public","fixed_expenses","title","4","character varying","NO",""
"public","fixed_expenses","amount","5","numeric","NO",""
"public","fixed_expenses","category_id","6","integer","YES",""
"public","fixed_expenses","is_recurring","7","boolean","YES","false"
"public","fixed_expenses","is_ad_spend","8","boolean","YES","false"
"public","fixed_expenses","source","9","character varying","YES",""
"public","fixed_expenses","campaign_name","10","character varying","YES",""
"public","fixed_expenses","start_date","11","date","NO",""
"public","fixed_expenses","end_date","12","date","YES",""
"public","fixed_expenses","created_by_user_id","13","character varying","NO",""
"public","fixed_expenses","updated_by_user_id","14","character varying","NO",""
"public","fixed_expenses","created_at","15","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","fixed_expenses","updated_at","16","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","payment_gateway_settings","gateway_id","1","integer","NO","nextval('payment_gateway_settings_gateway_id_seq'::regclass)"
"public","payment_gateway_settings","client_id","2","character varying","NO",""
"public","payment_gateway_settings","write_key","3","character varying","NO",""
"public","payment_gateway_settings","gateway_name","4","character varying","NO",""
"public","payment_gateway_settings","percentage_fee","5","numeric","YES",""
"public","payment_gateway_settings","fixed_fee","6","numeric","YES",""
"public","payment_gateway_settings","is_shopify_payments","7","boolean","YES","false"
"public","payment_gateway_settings","created_by_user_id","8","character varying","NO",""
"public","payment_gateway_settings","updated_by_user_id","9","character varying","NO",""
"public","payment_gateway_settings","created_at","10","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","payment_gateway_settings","updated_at","11","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","periscope_event_destinations","destination_id","1","integer","NO","nextval('periscope_event_destinations_destination_id_seq'::regclass)"
"public","periscope_event_destinations","write_key_event_id","2","integer","YES",""
"public","periscope_event_destinations","advertising_connection_id","3","integer","YES",""
"public","periscope_event_destinations","is_active","4","boolean","YES","true"
"public","periscope_event_destinations","last_sent_at","5","timestamp without time zone","YES",""
"public","periscope_event_destinations","created_at","6","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","periscope_event_destinations","updated_at","7","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","periscope_events","write_key_event_id","1","integer","NO","nextval('periscope_write_key_events_write_key_event_id_seq'::regclass)"
"public","periscope_events","event_id","3","integer","YES",""
"public","periscope_events","is_active","4","boolean","YES","true"
"public","periscope_events","last_sent_at","5","timestamp without time zone","YES",""
"public","periscope_events","created_at","6","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","periscope_events","updated_at","7","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","periscope_events","account_id","9","character varying","NO",""
"public","product_cogs_settings","product_cost_id","1","integer","NO","nextval('product_cogs_settings_product_cost_id_seq'::regclass)"
"public","product_cogs_settings","client_id","2","character varying","NO",""
"public","product_cogs_settings","write_key","3","character varying","NO",""
"public","product_cogs_settings","platform_type","4","character varying","NO",""
"public","product_cogs_settings","platform_product_id","5","character varying","NO",""
"public","product_cogs_settings","sku","6","character varying","YES",""
"public","product_cogs_settings","cogs_amount","7","numeric","YES",""
"public","product_cogs_settings","handling_fee","8","numeric","YES",""
"public","product_cogs_settings","marketplace","9","character varying","YES",""
"public","product_cogs_settings","created_by_user_id","10","character varying","NO",""
"public","product_cogs_settings","updated_by_user_id","11","character varying","NO",""
"public","product_cogs_settings","created_at","12","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","product_cogs_settings","updated_at","13","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","product_cogs_settings","product_cost","14","numeric","YES","0"
"public","products","product_id","1","integer","NO","nextval('products_product_id_seq'::regclass)"
"public","products","client_id","2","character varying","NO",""
"public","products","write_key","3","character varying","NO",""
"public","products","platform_type","4","character varying","NO",""
"public","products","platform_product_id","5","character varying","NO",""
"public","products","title","6","character varying","NO",""
"public","products","sku","7","character varying","YES",""
"public","products","price","8","numeric","YES",""
"public","products","quantity","9","integer","YES","0"
"public","products","marketplace","10","character varying","YES",""
"public","products","created_at","11","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","products","updated_at","12","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","products","image_url","13","character varying","YES",""
"public","products","is_active","14","boolean","YES","true"
"public","properties","property_id","1","integer","NO","nextval('properties_property_id_seq'::regclass)"
"public","properties","name","2","character varying","NO",""
"public","properties","description","3","character varying","NO",""
"public","properties","created_at","5","timestamp without time zone","YES",""
"public","properties","platform","6","character varying","NO",""
"public","report_subscriptions","subscription_id","1","integer","NO","nextval('report_subscriptions_subscription_id_seq'::regclass)"
"public","report_subscriptions","user_id","2","character varying","NO",""
"public","report_subscriptions","daily_report","3","boolean","YES","false"
"public","report_subscriptions","weekly_report","4","boolean","YES","false"
"public","report_subscriptions","monthly_report","5","boolean","YES","false"
"public","report_subscriptions","alert_notifications","6","boolean","YES","false"
"public","report_subscriptions","created_at","7","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"public","shipping_profiles","profile_id","1","integer","NO","nextval('shipping_profiles_profile_id_seq'::regclass)"
"public","shipping_profiles","client_id","2","character varying","NO",""
"public","shipping_profiles","write_key","3","character varying","NO",""
"public","shipping_profiles","profile_name","4","character varying","NO",""
"public","shipping_profiles","is_worldwide","5","boolean","YES","false"
"public","shipping_profiles","regions","6","jsonb","YES",""
"public","shipping_profiles","rate_type","7","character varying","YES",""
"public","shipping_profiles","shipping_rate","8","numeric","YES",""
