"fk_table_schema","fk_table_name","fk_column_name","pk_table_schema","pk_table_name","pk_column_name","fk_constraint_name"
"public","analytics_chart_views","chart_uuid","public","saved_queries","saved_query_uuid","analytics_chart_views_chart_uuid_foreign"
"public","analytics_chart_views","user_uuid","public","users","user_uuid","analytics_chart_views_user_uuid_foreign"
"public","analytics_dashboard_views","user_uuid","public","users","user_uuid","analytics_dashboard_views_user_uuid_foreign"
"public","analytics_dashboard_views","dashboard_uuid","public","dashboards","dashboard_uuid","analytics_dashboard_views_dashboard_uuid_foreign"
"public","bratrax_advertising_connections","organization_uuid","public","organizations","organization_uuid","fk_bac_organization"
"public","bratrax_crm_connections","organization_uuid","public","organizations","organization_uuid","fk_bcc_organization"
"public","bratrax_crm_connections","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bcc_bratrax_write_key"
"public","bratrax_default_traffic_rules","organization_uuid","public","organizations","organization_uuid","fk_bdfr_organization"
"public","bratrax_default_traffic_rules","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bdfr_bratrax_write_key"
"public","bratrax_event_properties","bratrax_event_id","public","bratrax_events","bratrax_event_id","fk_bep_event"
"public","bratrax_event_properties","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bep_bratrax_write_key"
"public","bratrax_event_properties","organization_uuid","public","organizations","organization_uuid","fk_bep_organization"
"public","bratrax_event_properties","bratrax_property_id","public","bratrax_properties","bratrax_property_id","fk_bep_property"
"public","bratrax_events","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_be_bratrax_write_key"
"public","bratrax_events","organization_uuid","public","organizations","organization_uuid","fk_be_organization"
"public","bratrax_expense_categories","created_by_user_uuid","public","users","user_uuid","fk_bec_created_by_user"
"public","bratrax_expense_categories","organization_uuid","public","organizations","organization_uuid","fk_bec_organization"
"public","bratrax_fixed_expenses","organization_uuid","public","organizations","organization_uuid","fk_bfe_organization"
"public","bratrax_fixed_expenses","updated_by_user_uuid","public","users","user_uuid","fk_bfe_updated_by_user"
"public","bratrax_fixed_expenses","created_by_user_uuid","public","users","user_uuid","fk_bfe_created_by_user"
