"table_schema","table_name","column_name","ordinal_position","data_type","is_nullable","column_default"
"graphile_worker","job_queues","queue_name",1,"text","NO",NULL
"graphile_worker","job_queues","job_count",2,"integer","NO",NULL
"graphile_worker","job_queues","locked_at",3,"timestamp with time zone","YES",NULL
"graphile_worker","job_queues","locked_by",4,"text","YES",NULL
"graphile_worker","jobs","id",1,"bigint","NO","nextval('graphile_worker.jobs_id_seq'::regclass)"
"graphile_worker","jobs","queue_name",2,"text","YES",NULL
"graphile_worker","jobs","task_identifier",3,"text","NO",NULL
"graphile_worker","jobs","payload",4,"json","NO","'{}'::json"
"graphile_worker","jobs","priority",5,"integer","NO","0"
"graphile_worker","jobs","run_at",6,"timestamp with time zone","NO","now()"
"graphile_worker","jobs","attempts",7,"integer","NO","0"
"graphile_worker","jobs","max_attempts",8,"integer","NO","25"
"graphile_worker","jobs","last_error",9,"text","YES",NULL
"graphile_worker","jobs","created_at",10,"timestamp with time zone","NO","now()"
"graphile_worker","jobs","updated_at",11,"timestamp with time zone","NO","now()"
"graphile_worker","jobs","key",12,"text","YES",NULL
"graphile_worker","jobs","locked_at",13,"timestamp with time zone","YES",NULL
"graphile_worker","jobs","locked_by",14,"text","YES",NULL
"graphile_worker","jobs","revision",15,"integer","NO","0"
"graphile_worker","jobs","flags",16,"jsonb","YES",NULL
"graphile_worker","known_crontabs","identifier",1,"text","NO",NULL
"graphile_worker","known_crontabs","known_since",2,"timestamp with time zone","NO",NULL
"graphile_worker","known_crontabs","last_execution",3,"timestamp with time zone","YES",NULL
"graphile_worker","migrations","id",1,"integer","NO",NULL
"graphile_worker","migrations","ts",2,"timestamp with time zone","NO","now()"
"public","analytics_chart_views","user_uuid",1,"uuid","YES",NULL
"public","analytics_chart_views","chart_uuid",2,"uuid","NO",NULL
"public","analytics_chart_views","context",3,"jsonb","YES",NULL
"public","analytics_chart_views","timestamp",4,"timestamp without time zone","NO","CURRENT_TIMESTAMP"
"public","analytics_dashboard_views","user_uuid",1,"uuid","YES",NULL
"public","analytics_dashboard_views","dashboard_uuid",2,"uuid","NO",NULL
"public","analytics_dashboard_views","context",3,"jsonb","YES",NULL
"public","analytics_dashboard_views","timestamp",4,"timestamp without time zone","NO","CURRENT_TIMESTAMP"
"public","cached_explore","cached_explore_uuid",1,"uuid","NO","uuid_generate_v4()"
"public","cached_explore","project_uuid",2,"uuid","NO",NULL
"public","cached_explore","name",3,"character varying","NO",NULL
"public","cached_explore","table_names",4,"ARRAY","NO",NULL
"public","cached_explore","explore",5,"jsonb","NO",NULL
"public","cached_explores","project_uuid",1,"uuid","NO",NULL
"public","cached_explores","explores",2,"jsonb","NO",NULL
"public","cached_warehouse","project_uuid",1,"uuid","NO",NULL
